Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Kevin Gausman,Cincinnati Reds,SP,409,87.1,35.2,0.339,0.327,25,871
Drew Gagnon,New York Mets,RP,111,87.7,35.8,0.429,0.397,-120,871
Corey Oswalt,New York Mets,SP,34,86.5,26.1,0.421,0.378,-130,870
Geoff Hartlieb,Pittsburgh Pirates,RP,134,91,43.8,0.418,0.352,-44,869
Dylan Covey,Chicago White Sox,RP,243,88.8,38.8,0.361,0.4,-62,869
Tyler Beede,San Francisco Giants,SP,442,91.2,45.4,0.362,0.352,14,868
Zac Reininger,Detroit Tigers,RP,102,91.2,42.2,0.499,0.462,-26,867
Wade LeBlanc,Seattle Mariners,SP,504,89.2,39.6,0.359,0.34,-8,866
Nick Kingham,Toronto Blue Jays,RP,259,86.6,34,0.421,0.355,57,865
Jesse Biddle,Texas Rangers,RP,152,89.3,43.8,0.414,0.42,-51,865
Marco Estrada,Oakland Athletics,SP,106,86.9,29.2,0.359,0.323,-75,864
Tyler Anderson,Colorado Rockies,SP,106,87.6,36.1,0.471,0.413,-61,863
Ervin Santana,Chicago White Sox,SP,64,89.2,39.6,0.479,0.451,-24,861
Jordan Zimmermann,Detroit Tigers,SP,413,89.3,38.2,0.35,0.362,37,860
Clayton Richard,Toronto Blue Jays,SP,201,91.7,49.7,0.38,0.374,-14,859
Jimmy Yacabonis,Baltimore Orioles,RP,193,90.7,40.3,0.403,0.385,-85,858
Peter Lambert,Colorado Rockies,SP,359,88.7,39.5,0.401,0.362,-55,857
Yusei Kikuchi,Seattle Mariners,SP,636,88.4,37.4,0.365,0.338,-6,857
Glenn Sparkman,Kansas City Royals,SP,504,90.6,42,0.363,0.359,-39,856
Nick Margevicius,San Diego Padres,SP,252,87.5,34.9,0.382,0.359,-92,856
Carson Fulmer,Chicago White Sox,RP,103,88.2,39.7,0.343,0.319,-32,855
Chris Stratton,Pittsburgh Pirates,RP,323,88.3,34.6,0.376,0.328,2,855
Burch Smith,Milwaukee Brewers,RP,65,89.6,40,0.397,0.351,-43,852
Ty Blach,Baltimore Orioles,SP,122,90.1,42,0.443,0.394,-38,850
Felix Hernandez,Seattle Mariners,SP,232,91.3,42.4,0.378,0.352,15,849
